Oil Climate Index Consolidated Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,10/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil Climate Index Webtool - Phase II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer to oci.carnegiendowment.org/methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtitle/Reference,Subtitle/Reference,Data Field Names,Units,Notes/Sources,List of oils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Cases Start Here ----->,d,d,d,d,d,d,d,d,d,,
,,Region,,,Middle East & N. Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Asia-Pacific,Russia & Eurasia,S. America & Carribean,S. America & Carribean,North America,Asia-Pacific,Asia-Pacific,Asia-Pacific,S. America & Carribean,S. America & Carribean,S. America & Carribean,Asia-Pacific,Asia-Pacific,Asia-Pacific,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Russia & Eurasia,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,North America,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Europe,Europe,Europe,Middle East & N. Africa,Middle East & N. Africa,Russia & Eurasia,Russia & Eurasia,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,Middle East & N. Africa,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,S. America & Carribean,S. America & Carribean,North America,North America,North America,North America,Europe,North America,Russia & Eurasia,Europe,S. America & Carribean,,
,,Unique,,,Algeria Hassi RÕMel,Angola Girassol,Angola Kuito,Angola Takula,Australia Cossack,Azerbaijan Azeri Light,Brazil Frade,Brazil Lula,Canada Hibernia,China Bozhong,China Nanhai Light,China Qinhuangdao,Colombia Ca–o Lim—n,Colombia Cusiana,Ecuador Sacha,India Bombay High,Indonesia Duri,Indonesia Minas,Iran Aboozar,Iran Marun,Iraq Kirkuk,Iraq Rumaila,Iraq West Qurna,Iraq Zubair,Kazakhstan Tengiz,Kuwait Burgan,Kuwait Ratawi,Libya Waha,Mexico Chuc,Nigeria Agbami,Nigeria Bonga,Nigeria Bonny,Nigeria Escravos Beach,Nigeria Obagi,Nigeria Pennington,Norway Ekofisk,Norway Oseberg,Norway Skarv,Qatar Bul Hanine,Qatar Dukhan,Russia Romashkinskoye,Russia Samotlor,Saudi Arabia Ghawar,Saudi Arabia Safaniya,Saudi Arabia Zuluf,United Arab Emirates Fateh,United Arab Emirates Murban,U.S.  Alaska North Slope,U.S. Bakken Flare,U.S. Bakken No Flare,U.S. Texas Eagle Ford Black Oil Zone,U.S. Texas Eagle Ford Volatile Oil Zone,U.S. Texas Eagle Ford Condensate Zone,U.S.  East Texas Field,U.S. Louisiana Lake Washington Field,U.S. Gulf Mars,U.S. California Midway Sunset,U.S. Wyoming Salt Creek,U.S. California South Belridge,U.S. Texas Spraberry,U.S. Gulf Thunder Horse,U.S. Wyoming WC,U.S. California Wilmington,U.S. Texas Yates,Venezuela Hamaca SCO,Venezuela Tia Juana,Canada Cold Lake CSS Dilbit,Canada Athabasca SAGD Dilbit,Canada Athabasca DC SCO,Canada Athabasca FC-HC SCO,Denmark Dansk Blend,Mexico Cantarell,Russia Chayvo,UK Forties Blend,Venezuela Merey Blend,,
,,Country,,,Algeria,Angola,Angola,Angola,Australia,Azerbaijan,Brazil,Brazil,Canada,China,China,China,Colombia,Colombia,Ecuador,India,Indonesia,Indonesia,Iran,Iran,Iraq,Iraq,Iraq,Iraq,Kazakhstan,Kuwait,Kuwait,Libya,Mexico,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Norway,Norway,Norway,Qatar,Qatar,Russia,Russia,Saudi Arabia,Saudi Arabia,Saudi Arabia,United Arab Emirates,United Arab Emirates,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,U.S.,Venezuela,Venezuela,Canada,Canada,Canada,Canada,Denmark,Mexico,Russia,UK,Venezuela,,
,,Oil Field Name (OPGEE),,,Hassi R'Mel,Girassol,Kuito,Takula,Cossack,Azeri,Frade,Lula,Hibernia,Bozhong,Nanhai Light,QinHuangDao,Ca–o Lim—n,Cusiana,Sacha,Bombay High,Duri,Minas,Aboozar,Marun,Kirkuk,Rumaila,West Qurna,Zubair,Tengiz,Burgan,Ratawi,Waha,Chuc,Agbami,Bonga,Bonny,Escravos Beach,Obagi,Pennington,Ekofisk,Oseberg,Skarv,Bul Hanine,Dukhan,Romashkinskoye,Samotlor,Ghawar,Safaniya,Zuluf,Fateh,Murban,Alaska North Slope,Bakken Flare,Bakken No Flare,Eagle Ford Texas Black Oil Zone,Eagle Ford Texas Volatile Oil Zone,Eagle Ford Texas Condensate Zone,East Texas Field,Louisiana Lake Washington Field,Gulf Mars,California Midway Sunset,Wyoming Salt Creek,California South Belridge,Texas Spraberry,Gulf Thunder Horse,Wyoming WC,California Wilmington,Texas Yates,Hamaca SCO,Tia Juana,Cold Lake CSS Dilbit,Abathasca SAGD Dilbit,Athabasca DC SCO,Athabasca FC-HC SCO,Dansk Blend,Cantarell,Chayvo,Forties Blend,Merey Blend,,
,,Assay Name (PRELIM),,Sources for Assays included here,  Algerian Condensate_BP ,  Angola Girassol_Exxon ,  Angola Kuito_Chevron ,  Angola Cabinda_Stratiev ,  Cossack_Chevron ,  Azeri Light_Chevron ,  Brazil Frade_Chevron ,  Brazil Lula_BG Group ,  Canada Hibernia_Exxon ,  China Bozhong_Chevron ,  Nanhai Light_Chevron ,  Qin Huang Dao_Chevron ,  Colombia Cano Limon_Stratiev ,  Cusiana_COA ,  Ecuador Oriente_Stratiev ,  India Bombay_COA ,  Indonesia Duri_Chevron ,  Sumatran Light (Minas)_Chevron ,  Iran Ardeshir_COA ,  Iranian Heavy_COA ,  Kirkuk_O&G ,  Basrah Medium_COA ,  Basrah Heavy_O&G ,  Iraq Basra_BP ,  Tengiz_Chevron ,  Burgan (Wafra)_O&G ,  Kuwait Ratawi_Chevron ,  Libya Es Sider_COA ,  Isthmus_Stratiev ,  Nigeria Agbami_Chevron ,  Nigera Bonga_Exxon ,  Bonny Light_Chevron ,  Nigeria Escravos_Chevron ,  Bonny Light_Chevron ,  Nigeria Pennington_Chevron ,  Ekofisk_Statoil ,  Norway Oseberg_Statoil ,  Norway North Sea Skarv_BP ,  Marine Qatar_O&G ,  Dukhan_Qatar_COA ,  Russian Export Blend_Stratiev ,  Siberian Light_COA ,  Arab Light_Stratiev ,  Arab Heavy_Stratiev ,  Arab Medium_Stratiev ,  Fateh_COA ,  UAE Murban_BP ,  Alaskan North Slope_Exxon ,  Bakken_Various Sources ,  Bakken_Various Sources ,  Eagle Ford Ultralight_Platts ,  Eagle Ford Ultralight_Platts ,  Snohvit Condensate_Statoil ,  East Texas Sweet_COA ,  Louisiana light sweet_Stratiev ,  Mars USA-Gulf of Mexico_BP ,  Midway-Sunset_Knovel ,  Wyoming Sweet_COA ,  Belridge_Knovel ,  West texas intermediate_Stratiev ,  Thunderhorse_BP  ,  Wyoming Sweet_COA ,  Wilmington CA_Knovel ,  West texas sour_Stratiev ,  Hamaca Venezuela_Knovel ,  Venezuela Tia Juana_Stratiev ,  Cold Lake_Crude Monitor ,  Christina Lake_Crude Monitor ,  Suncor Synthetic A_Crude Monitor ,  Syncrude Sweet Premium_Crude Monitor ,  North Sea Dansk Blend_Statoil ,  MAYA_Stratiev ,  Russia Sokol_Exxon ,  Forties Blend_BP ,  Merey_O&G ,,
,,Oil Type,,,Condensate,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Oil Sands,Oil Sands,Oil Sands,Oil Sands,Conventional,Conventional,Conventional,Conventional,Conventional,,
,,API (PRELIM),,,68,30,22,32,47,35,20,29,35,17,40,16,29,36,29,38,20,34,27,31,39,30,25,30,46,23,24,35.7,33,48,31,33,34,33,35,38,40,36,33,42,32,36,33,27,29,31,40,31,38,38,41,50,61,37,36,29,23,37,15,41,33,37,19,34,26,12,21,22,33,32,33,22,36,39,15,,
,,Sulfur %wt (PRELIM),,,0.001,0.313,0.871,0.314,0.059,0.15,0.8,0.268,0.62,0.282,0.047,0.287,0.641,0.974,0.949,0.145,0.239,0.088,2.547,1.47,1.974,2.675,8.133,2.659,0.706,3.434,5.017,0.19,1.332,0.082,0.185,0.17,0.235,0.17,0.146,0.243,0.204,0.371,2.1,1.639,1.332,0.473,1.628,2.328,2.402,1.931,0.878,0.846,0.073,0.073,0.308,0.133,0.016,0.289,0.304,1.555,1.186,0.305,0.247,0.308,0.673,0.305,1.56,1.313,1.63,2.492,3.885,3.52,0.165,0.14,0.321,3.275,0.373,0.849,2.153,,
,,API Crude Category,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Condensate,Medium,Heavy,Medium,Ultra-Light,Light,Heavy,Medium,Light,Heavy,Light,Heavy,Medium,Light,Medium,Light,Heavy,Light,Medium,Medium,Light,Medium,Medium,Medium,Ultra-Light,Medium,Medium,Light,Light,Ultra-Light,Medium,Light,Light,Light,Light,Light,Light,Light,Light,Light,Medium,Light,Light,Medium,Medium,Medium,Light,Medium,Light,Light,Light,Ultra-Light,Condensate,Light,Light,Medium,Heavy,Light,Heavy,Light,Light,Light,Heavy,Light,Extra-Heavy,Extra-Heavy,Extra-Heavy,Extra-Heavy,Extra-Heavy,Extra-Heavy,Light,Medium,Light,Light,Extra-Heavy,,
,,Sulfur Category,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Sweet,Sweet,Sour,Sweet,Sweet,Sweet,Sour,Sweet,Sour,Sweet,Sweet,Sweet,Sour,Sour,Sour,Sweet,Sweet,Sweet,Sour,Sour,Sour,Sour,Sour,Sour,Sour,Sour,Sour,Sweet,Sour,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sour,Sour,Sour,Sweet,Sour,Sour,Sour,Sour,Sour,Sour,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sour,Sour,Sweet,Sweet,Sweet,Sour,Sweet,Sour,Sour,Sour,Sour,Sour,Sour,Sweet,Sweet,Sweet,Sour,Sweet,Sour,Sour,,
,,Production Volume,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Medium,Medium,Medium,Medium,Medium,High,Low,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,High,Medium,Medium,Medium,High,High,High,High,Medium,High,High,Medium,High,Medium,Medium,Medium,Very Low,Low,Low,Very Low,Medium,Medium,Medium,Medium,High,High,High,Very High,High,High,Medium,High,High,High,High,High,High,Medium,Medium,High,Medium,Medium,Low,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,High,,
